Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassCoupledModified,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode_Javascript,CountLineCode_Php,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe_Javascript,CountStmtExe_Php
Directory Structure/AntennaPod,1.54,1.51,1.67,1.04,146.15,9.79,130.55,5.84,0,863,2132,2140,5724,1613,5849,8044,3965,10176,6485,362,1712,302,7800,235739,15795,210578,26992,34555,9422,1.00301e+09,2,35576,46023,23126,27408,10624,10417,11519,7123,4104,39,39,52,24,174,4,6,0,0,0.04,10624,10417,11519,7123,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/app,1.56,1.53,1.66,1.07,141.84,12.56,125.07,4.17,0,448,766,588,2792,780,2833,3714,2464,4480,3296,130,936,198,3216,110633,9795,97551,14348,17289,3256,2.92492e+06,0,19081,23891,12135,13895,5193,5082,5521,3563,2130,24,24,25,22,78,4,4,0,0,0.03,5193,5082,5521,3563,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/config,0,0,0,0,128.75,2.25,125.5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,515,9,502,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core,1.58,1.55,1.72,1.01,205.26,7.92,188.4,8.87,0,258,1216,994,2056,549,2085,2618,804,3834,2036,142,660,42,2990,112690,4348,103431,9029,12943,4871,1.00007e+09,0,12205,16152,7844,10081,3876,3796,4213,2481,1457,39,39,52,24,174,3,6,0,0,0.05,3876,3796,4213,2481,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/event,0.92,0.92,0.92,0.91,16.85,3.96,12.78,0.11,0,24,40,12,71,27,63,102,82,142,71,0,12,0,130,455,107,345,163,78,3,64,0,135,224,153,73,72,72,72,71,0,2,2,2,1,0,1,1,0,0,0.01,72,72,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/model,1.38,1.38,1.54,1.14,122.08,18.83,86.33,17.29,0,22,26,88,320,24,335,644,277,670,387,38,6,6,620,2930,452,2072,774,903,415,2242,0,925,1413,654,795,487,487,546,404,118,19,19,27,19,18,3,2,0,0,0.2,487,487,546,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/net,1.5,1.49,1.59,0.98,45.8,5.98,35.75,4.25,0,36,22,66,148,51,152,272,152,294,158,10,40,0,244,2336,305,1823,765,956,217,333,0,942,1222,704,697,266,263,282,174,80,8,8,12,6,11,4,4,0,0,0.12,266,263,282,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/parser,1.94,1.93,2.4,1.12,51.54,6.78,41.79,4.42,0,46,36,292,198,67,204,376,82,412,329,30,36,22,324,3453,454,2800,1277,1575,296,997,0,1511,1997,1076,1219,442,439,547,255,209,23,23,48,11,59,3,6,0,0,0.11,442,439,547,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/playback,1.4,1.34,1.7,0.87,55.67,7.27,38.13,10.4,0,18,22,60,95,30,134,238,60,260,166,12,14,24,210,1670,218,1144,454,537,312,1476,0,537,744,382,422,211,202,256,131,104,28,20,38,13,58,2,4,0,0,0.27,211,202,256,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/ui,0.56,0.55,0.6,0.38,12.09,1.21,10.41,0.54,0,11,4,40,43,80,43,80,44,84,42,0,8,10,66,967,97,833,178,201,43,62,0,240,310,174,160,63,62,67,43,6,5,5,7,1,3,2,3,0,0,0.05,63,62,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
